TITLE = "Post Processing Tecplot"
VARIABLES = "X","Y","T"
ZONE T="BIG ZONE", I=181, J=129, DATAPACKING=POINT
0.000000,0.000000,0.000000
0.548545,0.000000,0.000000
1.022247,0.000000,0.000000
1.382204,0.000000,0.000000
1.630033,0.000000,0.000000
1.789296,0.000000,0.000000
1.887153,0.000000,0.000000
1.945632,0.000000,0.000000
1.980000,0.000000,0.000000
2.000000,0.000000,0.000000
2.021739,0.000000,0.000000
2.043478,0.000000,0.000000
2.065217,0.000000,0.000000
2.086957,0.000000,0.000000
2.108696,0.000000,0.000000
2.130435,0.000000,0.000000
2.152174,0.000000,0.000000
2.173913,0.000000,0.000000
2.195652,0.000000,0.000000
2.217391,0.000000,0.000000
2.239130,0.000000,0.000000
2.260870,0.000000,0.000000
2.282609,0.000000,0.000000
2.304348,0.000000,0.000000
2.326087,0.000000,0.000000
2.347826,0.000000,0.000000
2.369565,0.000000,0.000000
2.391304,0.000000,0.000000
2.413043,0.000000,0.000000
2.434783,0.000000,0.000000
2.456522,0.000000,0.000000
2.478261,0.000000,0.000000
2.500000,0.000000,0.000000
2.521739,0.000000,0.000000
2.543478,0.000000,0.000000
2.565217,0.000000,0.000000
2.586957,0.000000,0.000000
2.608696,0.000000,0.000000
2.630435,0.000000,0.000000
2.652174,0.000000,0.000000
2.673913,0.000000,0.000000
2.695652,0.000000,0.000000
2.717391,0.000000,0.000000
2.739130,0.000000,0.000000
2.760870,0.000000,0.000000
2.782609,0.000000,0.000000
2.804348,0.000000,0.000000
2.826087,0.000000,0.000000
2.847826,0.000000,0.000000
2.869565,0.000000,0.000000
2.891304,0.000000,0.000000
2.913043,0.000000,0.000000
2.934783,0.000000,0.000000
2.956522,0.000000,0.000000
2.978261,0.000000,0.000000
3.000000,0.000000,0.000000
3.021739,0.000000,0.000000
3.043478,0.000000,0.000000
3.065217,0.000000,0.000000
3.086957,0.000000,0.000000
3.108696,0.000000,0.000000
3.130435,0.000000,0.000000
3.152174,0.000000,0.000000
3.173913,0.000000,0.000000
3.195652,0.000000,0.000000
3.217391,0.000000,0.000000
3.239130,0.000000,0.000000
3.260870,0.000000,0.000000
3.282609,0.000000,0.000000
3.304348,0.000000,0.000000
3.326087,0.000000,0.000000
3.347826,0.000000,0.000000
3.369565,0.000000,0.000000
3.391304,0.000000,0.000000
3.413043,0.000000,0.000000
3.434783,0.000000,0.000000
3.456522,0.000000,0.000000
3.478261,0.000000,0.000000
3.500000,0.000000,0.000000
3.521739,0.000000,0.000000
3.543478,0.000000,0.000000
3.565217,0.000000,0.000000
3.586957,0.000000,0.000000
3.608696,0.000000,0.000000
3.630435,0.000000,0.000000
3.652174,0.000000,0.000000
3.673913,0.000000,0.000000
3.695652,0.000000,0.000000
3.717391,0.000000,0.000000
3.739130,0.000000,0.000000
3.760870,0.000000,0.000000
3.782609,0.000000,0.000000
3.804348,0.000000,0.000000
3.826087,0.000000,0.000000
3.847826,0.000000,0.000000
3.869565,0.000000,0.000000
3.891304,0.000000,0.000000
3.913043,0.000000,0.000000
3.934783,0.000000,0.000000
3.956522,0.000000,0.000000
3.978261,0.000000,0.000000
4.000000,0.000000,0.000000
4.021739,0.000000,0.000000
4.043478,0.000000,0.000000
4.065217,0.000000,0.000000
4.086957,0.000000,0.000000
4.108696,0.000000,0.000000
4.130435,0.000000,0.000000
4.152174,0.000000,0.000000
4.173913,0.000000,0.000000
4.195652,0.000000,0.000000
4.217391,0.000000,0.000000
4.239130,0.000000,0.000000
4.260870,0.000000,0.000000
4.282609,0.000000,0.000000
4.304348,0.000000,0.000000
4.326087,0.000000,0.000000
4.347826,0.000000,0.000000
4.369565,0.000000,0.000000
4.391304,0.000000,0.000000
4.413043,0.000000,0.000000
4.434783,0.000000,0.000000
4.456522,0.000000,0.000000
4.478261,0.000000,0.000000
4.500000,0.000000,0.000000
4.521740,0.000000,0.000000
4.544780,0.000000,0.000000
4.569194,0.000000,0.000000
4.595057,0.000000,0.000000
4.622447,0.000000,0.000000
4.651446,0.000000,0.000000
4.682139,0.000000,0.000000
4.714615,0.000000,0.000000
4.748965,0.000000,0.000000
4.785283,0.000000,0.000000
4.823669,0.000000,0.000000
4.864223,0.000000,0.000000
4.907049,0.000000,0.000000
4.952253,0.000000,0.000000
4.999946,0.000000,0.000000
5.050239,0.000000,0.000000
5.103244,0.000000,0.000000
5.159077,0.000000,0.000000
5.217854,0.000000,0.000000
5.279692,0.000000,0.000000
5.344707,0.000000,0.000000
5.413014,0.000000,0.000000
5.484730,0.000000,0.000000
5.559967,0.000000,0.000000
5.638834,0.000000,0.000000
5.721437,0.000000,0.000000
5.807878,0.000000,0.000000
5.898252,0.000000,0.000000
5.992648,0.000000,0.000000
6.091146,0.000000,0.000000
6.193815,0.000000,0.000000
6.300716,0.000000,0.000000
6.411899,0.000000,0.000000
