u[48,102]: 18510.000000, v[48,102]: 18510.000000, p[48,102]: 18510.000000
u[49,102]: 18511.000000, v[49,102]: 18511.000000, p[49,102]: 18511.000000
u[50,102]: 18512.000000, v[50,102]: 18512.000000, p[50,102]: 18512.000000
u[51,102]: 18513.000000, v[51,102]: 18513.000000, p[51,102]: 18513.000000
u[52,102]: 18514.000000, v[52,102]: 18514.000000, p[52,102]: 18514.000000
u[53,102]: 18515.000000, v[53,102]: 18515.000000, p[53,102]: 18515.000000
u[54,102]: 18516.000000, v[54,102]: 18516.000000, p[54,102]: 18516.000000
u[55,102]: 18517.000000, v[55,102]: 18517.000000, p[55,102]: 18517.000000
u[56,102]: 18518.000000, v[56,102]: 18518.000000, p[56,102]: 18518.000000
u[57,102]: 18519.000000, v[57,102]: 18519.000000, p[57,102]: 18519.000000
u[58,102]: 18520.000000, v[58,102]: 18520.000000, p[58,102]: 18520.000000
u[59,102]: 18521.000000, v[59,102]: 18521.000000, p[59,102]: 18521.000000
u[60,102]: 18522.000000, v[60,102]: 18522.000000, p[60,102]: 18522.000000
u[61,102]: 18523.000000, v[61,102]: 18523.000000, p[61,102]: 18523.000000
u[62,102]: 18524.000000, v[62,102]: 18524.000000, p[62,102]: 18524.000000
u[63,102]: 18525.000000, v[63,102]: 18525.000000, p[63,102]: 18525.000000
u[48,103]: 18691.000000, v[48,103]: 18691.000000, p[48,103]: 18691.000000
u[49,103]: 18692.000000, v[49,103]: 18692.000000, p[49,103]: 18692.000000
u[50,103]: 18693.000000, v[50,103]: 18693.000000, p[50,103]: 18693.000000
u[51,103]: 18694.000000, v[51,103]: 18694.000000, p[51,103]: 18694.000000
u[52,103]: 18695.000000, v[52,103]: 18695.000000, p[52,103]: 18695.000000
u[53,103]: 18696.000000, v[53,103]: 18696.000000, p[53,103]: 18696.000000
u[54,103]: 18697.000000, v[54,103]: 18697.000000, p[54,103]: 18697.000000
u[55,103]: 18698.000000, v[55,103]: 18698.000000, p[55,103]: 18698.000000
u[56,103]: 18699.000000, v[56,103]: 18699.000000, p[56,103]: 18699.000000
u[57,103]: 18700.000000, v[57,103]: 18700.000000, p[57,103]: 18700.000000
u[58,103]: 18701.000000, v[58,103]: 18701.000000, p[58,103]: 18701.000000
u[59,103]: 18702.000000, v[59,103]: 18702.000000, p[59,103]: 18702.000000
u[60,103]: 18703.000000, v[60,103]: 18703.000000, p[60,103]: 18703.000000
u[61,103]: 18704.000000, v[61,103]: 18704.000000, p[61,103]: 18704.000000
u[62,103]: 18705.000000, v[62,103]: 18705.000000, p[62,103]: 18705.000000
u[63,103]: 18706.000000, v[63,103]: 18706.000000, p[63,103]: 18706.000000
u[144,118]: 21502.000000, v[144,118]: 21502.000000, p[144,118]: 21502.000000
u[145,118]: 21503.000000, v[145,118]: 21503.000000, p[145,118]: 21503.000000
u[146,118]: 21504.000000, v[146,118]: 21504.000000, p[146,118]: 21504.000000
u[147,118]: 21505.000000, v[147,118]: 21505.000000, p[147,118]: 21505.000000
u[148,118]: 21506.000000, v[148,118]: 21506.000000, p[148,118]: 21506.000000
u[149,118]: 21507.000000, v[149,118]: 21507.000000, p[149,118]: 21507.000000
u[150,118]: 21508.000000, v[150,118]: 21508.000000, p[150,118]: 21508.000000
u[151,118]: 21509.000000, v[151,118]: 21509.000000, p[151,118]: 21509.000000
u[152,118]: 21510.000000, v[152,118]: 21510.000000, p[152,118]: 21510.000000
u[153,118]: 21511.000000, v[153,118]: 21511.000000, p[153,118]: 21511.000000
u[154,118]: 21512.000000, v[154,118]: 21512.000000, p[154,118]: 21512.000000
u[155,118]: 21513.000000, v[155,118]: 21513.000000, p[155,118]: 21513.000000
u[156,118]: 21514.000000, v[156,118]: 21514.000000, p[156,118]: 21514.000000
u[157,118]: 21515.000000, v[157,118]: 21515.000000, p[157,118]: 21515.000000
u[158,118]: 21516.000000, v[158,118]: 21516.000000, p[158,118]: 21516.000000
u[159,118]: 21517.000000, v[159,118]: 21517.000000, p[159,118]: 21517.000000
u[144,119]: 21683.000000, v[144,119]: 21683.000000, p[144,119]: 21683.000000
u[145,119]: 21684.000000, v[145,119]: 21684.000000, p[145,119]: 21684.000000
u[146,119]: 21685.000000, v[146,119]: 21685.000000, p[146,119]: 21685.000000
u[147,119]: 21686.000000, v[147,119]: 21686.000000, p[147,119]: 21686.000000
u[148,119]: 21687.000000, v[148,119]: 21687.000000, p[148,119]: 21687.000000
u[149,119]: 21688.000000, v[149,119]: 21688.000000, p[149,119]: 21688.000000
u[150,119]: 21689.000000, v[150,119]: 21689.000000, p[150,119]: 21689.000000
u[151,119]: 21690.000000, v[151,119]: 21690.000000, p[151,119]: 21690.000000
u[152,119]: 21691.000000, v[152,119]: 21691.000000, p[152,119]: 21691.000000
u[153,119]: 21692.000000, v[153,119]: 21692.000000, p[153,119]: 21692.000000
u[154,119]: 21693.000000, v[154,119]: 21693.000000, p[154,119]: 21693.000000
u[155,119]: 21694.000000, v[155,119]: 21694.000000, p[155,119]: 21694.000000
u[156,119]: 21695.000000, v[156,119]: 21695.000000, p[156,119]: 21695.000000
u[157,119]: 21696.000000, v[157,119]: 21696.000000, p[157,119]: 21696.000000
u[158,119]: 21697.000000, v[158,119]: 21697.000000, p[158,119]: 21697.000000
u[159,119]: 21698.000000, v[159,119]: 21698.000000, p[159,119]: 21698.000000
u[144,122]: 22226.000000, v[144,122]: 22226.000000, p[144,122]: 22226.000000
u[145,122]: 22227.000000, v[145,122]: 22227.000000, p[145,122]: 22227.000000
u[146,122]: 22228.000000, v[146,122]: 22228.000000, p[146,122]: 22228.000000
u[147,122]: 22229.000000, v[147,122]: 22229.000000, p[147,122]: 22229.000000
u[148,122]: 22230.000000, v[148,122]: 22230.000000, p[148,122]: 22230.000000
u[149,122]: 22231.000000, v[149,122]: 22231.000000, p[149,122]: 22231.000000
u[150,122]: 22232.000000, v[150,122]: 22232.000000, p[150,122]: 22232.000000
u[151,122]: 22233.000000, v[151,122]: 22233.000000, p[151,122]: 22233.000000
u[152,122]: 22234.000000, v[152,122]: 22234.000000, p[152,122]: 22234.000000
u[153,122]: 22235.000000, v[153,122]: 22235.000000, p[153,122]: 22235.000000
u[154,122]: 22236.000000, v[154,122]: 22236.000000, p[154,122]: 22236.000000
